md5key,rawtext,substitutetext,targetlanguage,contextid
cf581b5e96cfaaa52d86c01965aa043e,"<p dir=""ltr"" style=""text-align: left;"">An introduction to the theory, set up and practice of gamification in Moodle.</p><p dir=""ltr"">This course relates to the following competence(s):</p><p dir=""ltr"">3.1 Teaching</p><p dir=""ltr""><span style=""font-size: 1rem;"">3.3 Collaborative learning</span><br></p><p dir=""ltr""><span style=""font-size: 1rem;"">3.4 Self-regulated learning</span><br></p><p dir=""ltr""><span style=""font-size: 1rem;"">5.3 Actively engaging learners</span><br></p>",,id,2981
22fc9e9c6bdc77f83a7bdbaf52851111,"This intermediate level course covers how to create a gamified course in Moodle.",,id,2981
3186bd28f19c7fd8bd7b57cfbae15ca0,"Live sessions",,id,2981
7177c8436621e0024d6e1bf5f5db1fd0,"What is gamification?",,id,2981
e3c1e749e631e134a565531fd4c3e5a0,"How to gamify your Moodle course? A gamified topic",,id,2981
80ffa4ac651d27c013627583a9515c8d,"Gamification case studies",,id,2981
07ce09edf9d9f4790b503a5c66aea8ec,"<div class=""no-overflow"">Before you begin, review the Course overview, Learning outcomes,  Course structure and Completion and assessment information.</div>",,id,2986
723beccd0a3ae22dceb98e6832fad4ae,"<h4 style=""text-align: left;"">Aim</h4>
<p>In this course you will learn:</p>
<ul><li>The theory behind gamification.</li>
  <li>How to create a gamified course in Moodle.</li>
  <li>How gamification is used in organisations to, for example, enhance continuous professional development.</li></ul>
<h4 style=""text-align: left;"">Estimated time</h4>
<p dir=""ltr"" style=""text-align: left;"">The estimated time to complete this course is two hours.</p>",,id,2986
c0beef70cee995a03cc60d5bafba9897,"The activities and screenshots in this course are based on the standard Boost theme and the latest version of Moodle LMS, currently 4.3.&nbsp;See <a href=""https://docs.moodle.org/403/en/Main_page"">Moodle 4.3 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/403/New_features"">New Features 4.3 documentation.</a><br>&nbsp;If your Moodle site looks different, ask your Moodle support staff about the theme and version being used.
<br><br>&nbsp;You can access documentation about earlier, supported versions of Moodle LMS below. This documentation includes the videos related to each version.<br>
<ul>
    <li><a href=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"" title=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"">Moodle 4.2 documentation overview</a> and <a href=""https://docs.moodle.org/402/en/New_features"">New Features 4.2 documentation.</a></li>
    <li><a href=""https://docs.moodle.org/401/en/Main_page"">Moodle 4.1 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/401/en/New_features"">New Features 4.1 documentation.</a></li>
</ul>",,id,2986
7295351f188f13c5e1bd5e9de5d33901,"<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">By the end of this course, participants will be able to:</span><br></h4><p dir=""ltr""></p><ul><li>Explain the basic history and theory behind gamification.</li><li>Identify standard and contributed gamification features in Moodle.</li><li>Set up a gamified Moodle course.</li><li>Put into practice tips from other organisations using gamification in Moodle.</li></ul><p></p>",,id,2986
d674728606a82d660c65582d163fd33f,"<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/2986/mod_book/chapter/630/ccby.png"" alt=""Creative Commons Licence"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    This course by&nbsp;Vasilis Palilis (<span style=""font-size: 1rem; font-family: &quot;Open Sans&quot;, -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;;"">WIDE Services),&nbsp;</span>Mark Glynn (<span style=""font-size: 1rem; font-family: &quot;Open Sans&quot;, -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;;"">DCU) and&nbsp;</span><span style=""font-size: 1rem; font-family: &quot;Open Sans&quot;, -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;;"">Moodle Academy (Moodle Pty Ltd) is licensed under&nbsp;</span><a href=""https://creativecommons.org/licenses/by/4.0/"" style="""">CC BY 4.0</a><span style=""font-size: 1rem; font-family: &quot;Open Sans&quot;, -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;;"">. Original resources available at&nbsp;</span><a href=""https://moodle.academy/"" style="""">https://moodle.academy</a>.</p>
<span class=""moodle-orange bold larger"">›</span>
<a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Read more about how you should attribute this work.</a>",,id,2986
fa2b4a2863e1aad40cc841ecdd809d69,"<p dir=""ltr"" style=""text-align: left;""></p>
<h4>Welcome</h4>
<p>Find out how the course works, check your prior understanding and join in an optional general discussion.</p>
<h4>Live session</h4>
<p>Participate in the live webinar or watch the recording at your convenience.</p>
<h4>What is gamification?</h4>
<p>Explore how gamification started. Learn what is and is NOT gamification. Consider why and why NOT to gamify your Moodle courses.</p>
<h4>How to gamify your Moodle course</h4>
<p>Learn how to use standard and contributed features to create a gamified Moodle course tailored to the needs of your learners.</p>
<h4>Gamification case studies</h4>
<p>Find out how others are using gamification in their organisations and take away useful tips for your own practice.</p>",,id,2986
