md5key,rawtext,substitutetext,targetlanguage,contextid
7859593959c56ed109709c8ad0fe9a6d,"<p dir=""ltr"" style=""text-align: left;"">Understand how to navigate Moodle, set up your teaching space and give access to your learners in this free self-paced course, part of the Moodle Teaching Basics program.</p>
<p dir=""ltr"" style=""text-align: left;""></p>
<p>This course relates to the following competence(s):</p>
<p>3.1 Teaching</p><br>
<p></p>",,id,5809
e32f06356e93bb7621471330bf05e63f,"<p>This beginner level course addresses some basics on teaching with Moodle. It specifically covers how to navigate in Moodle, set up your teaching space and give access to your learners.</p>
<h5>Please note</h5>
To get maximum benefit, we strongly advise you to take this course first and then complete the <a href=""https://moodle.academy/course/view.php?id=57"">Moodle Teaching Basics Program</a>.",,id,5809
8a541300a547078a46c838980b2d75c9,"<p dir=""ltr"" style=""text-align: left;"">When you have completed all the required activities, the Course check will appear for you to check your understanding.</p>",,id,5809
7c5e68cf681bdc7bd1b6cc8cd88dcf0f,"<p></p>""Being digitally competent means
using digital technologies
in a confident and safe way"" (DigComp 2.0). <br><br>Moodle Academy courses in the Educator learning pathway use a Moodle specific version of the Digital Competence Framework for Educators&nbsp;(DigCompEdu). This is the same framework used by the advanced Moodle Educator Certification (MEC).<br><br>This course relates to the following competence(s):<br><br>
3.1 Teaching<br>",,id,5814
9f2557d98c2d0288e047704401f89292,"<p dir=""ltr"">To complete the course you need to complete the following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li><span style=""font-size: 1rem;"">View&nbsp; 'About this course', reading all sections.</span><br></li>
    <li>View 'Get a practice course'.</li>
    <li>View the 'Tutorial: Start exploring Moodle', reading all sections.</li>
    <li>View the 'Tutorial: Start setting up your course', reading all sections.</li>
    <li>View the 'Tasks: Start teaching with Moodle', trying out the suggestions.</li>
    <li>Complete the 'Checklist: Start teaching with Moodle' , confirming your understanding.</li>
    <li>Achieve 80% or more in&nbsp; the 'Start Teaching with Moodle: Check your understanding' quiz.</li>
</ul>
<p></p>
<h4>Completing the activities</h4>
<ul>
    <li>Some activities are automatically marked as completed based on specific criteria.</li>
    <li>Some activities require you to manually mark them as done.</li>
</ul>
<p>Make sure you complete the activities according to their completion conditions.</p>
<p></p>

<h4>Course badge</h4>
<p>Upon successful completion of this course you will be automatically awarded with a badge to showcase the skills and knowledge you have obtained.</p>
<p></p>",,id,5814
885824e18ba7fd04dcc199e54168e8e9,"<p>This course is designed to help you understand the basics of teaching with Moodle.</p>
<p>You will need to have a Moodle course with an editing-teacher account. If your organisation is unable to give you a Moodle course with a teacher account then look at the page Get a practice course.</p>
<h5>This course IS...</h5>
<ul>
    <li>For anyone interested in teaching with Moodle, whatever your background.</li>
</ul>
<h5>This course IS NOT...</h5>
<ul>
    <li>For people who want to manage a whole Moodle site as an administrator.</li>
    <li>For people looking for advanced Moodle training.</li>
</ul>",,id,5814
bb44349bc3bb7775684997960377eaa1,"<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/5814/mod_book/chapter/827/ccby.png"" alt=""Creative Commons Licence"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    This course by Moodle Academy (Moodle Pty Ltd) is licensed under&nbsp;<a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Original resources available at&nbsp;<a href=""https://moodle.academy/"">https://moodle.academy</a>.<br></p>
<p>
    <span class=""moodle-orange bold larger"">›</span>

    <a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Read more about how you should attribute this work.</a><br>
</p>",,id,5814
29847d33790519aa1aa26226bf52790a,"<p>If you complete this course successfully, why not take the other courses in the Moodle Teaching Basics program and optionally purchase a certificate? </p>
<ul>
    <li>Moodle Course Content.<ul>
            <li>Discover the best ways to display teaching materials and track learner progress.</li>
        </ul>
    </li>



    <li>Moodle Course Activities.<br>
        <ul>
            <li>Encourage discussion, collaboration and other interactivity. Explore automatic and manual grading in Moodle, including quizzes and assignments.</li>
        </ul>
    </li>
    <li>Moodle Course Management.<ul>
            <li>Learn how to reuse your courses and explore some advanced features you'll learn with further training.
            </li>
        </ul>
    </li>
    <li>Accessible Teaching Basics.<ul>
            <li>Learn basic accessiblity so no learner is disadvantaged in your course.</li>
        </ul>
    </li>

</ul>",,id,5814
7370f5e626a0eaeae3ffdbc78d2165f6,"<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">By the end of this course, you will be able to:</span><br></h4><p dir=""ltr""></p><ul><li>Describe how to navigate and edit a Moodle course;</li><li>Define the layout of your own Moodle course as a teacher;</li><li>Add and edit text in your Moodle course;</li><li>Add blocks to your Moodle course;</li><li>Identify how learners can access your course.</li></ul><p></p>",,id,5814
08dde82590c8ec4c021f0857c76c4929,"<ul>
    <li>This is a free, self-paced course provided by Moodle Academy.</li>
    <li>You must have an editing teacher role in a Moodle course in a Moodle site. If your organisation cannot offer you a course, then follow the instructions in the page Get a practice course.</li>
    <li>Although this course is not facilitated, you are welcome to ask any questions in the General discussion forum.</li>
    <li>We would love to hear what you think of the course, if anything is unclear, or you have any ideas for improvements. Please provide feedback so we can improve the course for everyone.</li>
</ul>
<p></p>
<h4>Welcome</h4>
<p>Find out how the course works, confirm that this course is right for you, get a practice course and join in an optional general discussion.</p>
<h4><span style=""font-size: 1.5rem;"">Review, learn and practise</span><br></h4>
<p>Explore the interactive books and use the tasks provided to practise yourselves.&nbsp;</p>
<h4><span style=""font-size: 1.5rem;"">Course check</span><br></h4><p>Test your understanding in the final quiz.</p><h4>Feedback</h4>
<p>Answer few questions to help us improve this course.</p><p></p><h4>Videos and transcripts for download</h4><p><span style=""font-size: 1rem;"">Find the videos and their transcripts used in this course in a downloadable format.</span></p><br><p></p>
<p></p>",,id,5814
189475e500b89a2a0a51e221a8f4f1b1,"<h4 style=""text-align: left;"">Aim</h4>
<p>In this course you will:</p>
<p></p>
<ul>
    <ul>
        <li>Explore how to find your way around a Moodle site;</li>
        <li>Learn what the Dashboard and My courses tab do;</li>
        <li>Explore what a Moodle course is and how to set up and customise your course layout;</li>
      <li>Discover how to add and edit text in your course;</li><li>Explore the benefit of adding blocks to your course;</li><li>Learn how learners can access your course.</li>

    </ul>
</ul>
<p></p>
<p></p>
<h4>Format</h4>
<p dir=""ltr"">This is a self-paced course without active moderation.</p>
<h4 style=""text-align: left;"">Estimated time</h4>
<p dir=""ltr"" style=""text-align: left;"">The estimated time to complete this course is 3 hours.</p>",,id,5814
0890b66cc47037685fcfe6ad614f09fa,"The activities and screenshots in this course are based on the standard Boost theme and the latest version of Moodle LMS, currently 4.3.&nbsp;See <a href=""https://docs.moodle.org/403/en/Main_page"">Moodle 4.3 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/403/New_features"">New Features 4.3 documentation.</a><br>&nbsp;If your Moodle site looks different, ask your Moodle support staff about the theme and version being used.
<br><br>&nbsp;You can access documentation about earlier, supported versions of Moodle LMS below. This documentation includes the videos related to each version.<br>
<ul>
    <li><a href=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"" title=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"">Moodle 4.2 documentation overview</a> and <a href=""https://docs.moodle.org/402/en/New_features"">New Features 4.2 documentation.</a></li>
    <li><a href=""https://docs.moodle.org/401/en/Main_page"">Moodle 4.1 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/401/en/New_features"">New Features 4.1 documentation.</a></li>
</ul>",,id,5814
