md5key,rawtext,substitutetext,targetlanguage,contextid
e8b057fb5a308c2724d56d39cd2b88ee,"<p dir=""ltr"" style=""text-align: left;"">Discover the best ways to display teaching materials and track learner progress with this free, self-paced course,&nbsp; part of the Moodle Teaching Basics program.<br></p><p dir=""ltr"" style=""text-align: left;""></p><p>This course relates to the following competence(s):</p><p>3.1 Teaching</p><br><p></p>","<p dir=""ltr"" style=""text-align: left;"">Temukan cara terbaik untuk menampilkan materi pengajaran dan melacak kemajuan peserta didik dengan kursus mandiri dan gratis ini,&nbsp; bagian dari program Dasar-Dasar Pengajaran dengan Moodle.<br></p><p dir=""ltr"" style=""text-align: left;""></p><p>Kursus ini berkaitan dengan kompetensi berikut :</p><p>3.1 Mengajar</p><br><p></p>",id,5838
18295d5af6067056c68e9d427c178565,"<p>This beginner level&nbsp;course addresses the best ways to display teaching materials and track learner progress.&nbsp;</p>
<h5>Please note</h5>
To get maximum benefit, we strongly advise you take the course <a href=""https://moodle.academy/course/view.php?id=34"">Start teaching with Moodle</a> before taking this course, and then complete the <a href=""https://moodle.academy/course/view.php?id=57"">Moodle Teaching Basics Program.</a>","<p>Kursus tingkat pemula&nbsp; ini membahas cara terbaik untuk menampilkan materi pengajaran dan melacak kemajuan peserta didik.&nbsp;</p>
<h5>Harap diperhatikan</h5>
Untuk mendapatkan manfaat maksimal, kami sangat menyarankan Anda mengikuti kursus <a href=""https://moodle.academy/course/view.php?id=34"">Mulai mengajar dengan Moodle</a> sebelum mengikuti kursus ini, dan kemudian menyelesaikan <a href=""https://moodle.academy/course/view.php?id=57"">Program Dasar-Dasar Pengajaran dengan Moodle.</a>",id,5838
6c68ba34d8508d957a4f4179e581acdc,"<p dir=""ltr"" style=""text-align: left;"">When you have completed all the required activities, the Course check will appear for you to check your understanding.<br></p>","<p dir=""ltr"" style=""text-align: left;"">Setelah Anda menyelesaikan semua aktivitas yang diperlukan, pemeriksaan Kursus akan muncul untuk memeriksa pemahaman Anda.<br></p>",id,5838
e7e69b24ba75e632cd742100b30293b6,"<p></p>""Being digitally competent means
using digital technologies
in a confident and safe way"" (DigComp 2.0). <br><br>Moodle Academy courses in the Educator learning pathway use a Moodle specific version of the Digital Competence Framework for Educators&nbsp;(DigCompEdu). This is the same framework used by the advanced Moodle Educator Certification (MEC).<br><br>This course relates to the following competence(s):<br><br>
3.1 Teaching<br>","<p></p>""Menjadi kompeten secara digital berarti
menggunakan teknologi digital
dengan cara yang percaya diri dan aman"" (DigComp 2.0). <br><br>Kursus Moodle Academy di jalur pembelajaran Pendidik menggunakan versi khusus Moodle dari Kerangka Kompetensi Digital untuk Pendidik (DigCompEdu). Ini adalah kerangka kerja yang sama yang digunakan oleh Sertifikasi Pendidik Moodle (MEC) tingkat lanjut.<br><br>Kursus ini berkaitan dengan kompetensi berikut:<br><br>
3.1 Mengajar<br>",id,5843
4d23c58f62b3183788886a544e2e5ef2,"<h4 style=""text-align: left;"">Aim</h4>
<p>In this course you will&nbsp;</p><p></p><ul><ul><li>Explore how to upload your presentations, documents and other files;</li><li>Investigate optimum ways to display information;</li><li>Learn how to add images and links to websites;</li><li>Learn how to embed media such as sound and video files;</li><li>Discover how to use progress tracking.</li></ul>

    </ul><ul>
</ul>
<p></p>
<p></p>
<h4>Format</h4>
<p dir=""ltr"">This is a self-paced course without active moderation.</p>
<h4 style=""text-align: left;"">Estimated time</h4>
<p dir=""ltr"" style=""text-align: left;"">The estimated time to complete this course is 3 hours.</p>","<h4 style=""text-align: left;"">Bidik</h4>
<p>Dalam kursus ini Anda akan&nbsp;</p><p></p><ul><ul><li>Menjelajahi cara mengunggah presentasi, dokumen, dan berkas lainnya;</li><li>Meninvestigasi cara-cara optimal untuk menampilkan informasi;</li><li>Pelajari cara menambahkan gambar dan tautan ke situs web;</li><li>Pelajari cara menyematkan media seperti file suara dan video;</li><li>Temukan cara menggunakan pelacakan progres .</li></ul>

    </ul> <ul>
</ul>
<p> </p>
<p> </p>
<h4>Format</h4>
<p dir=""ltr"">Ini adalah kursus mandiri tanpa moderasi aktif.</p>
<h4 style=""text-align: left;"">Perkiraan waktu</h4>
<p dir=""ltr"" style=""text-align: left;"">Perkiraan waktu untuk menyelesaikan kursus ini adalah 3 jam.</p>",id,5843
1250e54863651a103b19a8629bd20fcd,"<ul>
    <li>This is a free, self-paced course provided by Moodle Academy.</li>
    <li>You must have an editing teacher role in a Moodle course in a Moodle site. If your organisation cannot offer you a course, then follow the instructions in the page Get a practice course.</li>
    <li>Although this course is not facilitated, you are welcome to ask any questions in the General discussion forum.</li>
    <li>We would love to hear what you think of the course, if anything is unclear, or you have any ideas for improvements. Please provide feedback so we can improve the course for everyone.</li>
</ul>
<p dir=""ltr"" style=""text-align: left;""></p>
<h4>Welcome</h4>
<p>Find out how the course works, confirm that this course is right for you, get a practice course and join in an optional general discussion.</p>
<h4>Review, learn and practise</h4>
<p>Explore the interactive book and use the tasks provided to practise yourselves.&nbsp;</p>
<p></p>
<h4>Course check</h4>Test your understanding in the final quiz.<br>
<p></p>
<p><span style=""color: rgb(0, 61, 89); font-size: 1.5rem;"">Feedback</span><br></p>
<p></p>
<p>Answer few questions to help us improve this course.</p>
<p><span style=""color: rgb(0, 61, 89); font-size: 1.5rem;"">Videos and transcripts for download</span></p>
<p></p>
<p></p>Find the videos and their transcripts used in this course in a downloadable format.<br><br><br>
<p></p>","<ul>
    <li>Ini adalah kursus mandiri dan gratis yang disediakan oleh Moodle Academy.</li>
    <li>Anda harus mempunyai peran pengajar pengedit dalam kursus Moodle di situs Moodle. Jika organisasi Anda tidak dapat menawarkan kursus kepada Anda, ikuti petunjuk di halaman Dapatkan kursus latihan.</li>
    <li>Meskipun kursus ini tidak difasilitasi, Anda dipersilakan untuk mengajukan pertanyaan apa pun di forum diskusi Umum.</li>
    <li>Kami ingin mendengar pendapat Anda tentang kursus ini, jika ada yang kurang jelas, atau Anda punya ide untuk perbaikan. Harap berikan masukan agar kami dapat menyempurnakan kursus ini untuk semua orang.</li>
</ul>
<p dir=""ltr"" style=""text-align: kiri;""></p>
<h4>Selamat datang</h4>
<p>Cari tahu cara kerja kursus, konfirmasikan bahwa kursus ini tepat untuk Anda, ikuti kursus latihan, dan bergabunglah dalam diskusi umum opsional.</p>
<h4>Tinjau, pelajari, dan praktikkan</h4>
<p>Jelajahi buku interaktif dan gunakan tugas yang disediakan untuk berlatih sendiri.&nbsp;</p>
<p></p>
<h4>Pemeriksaan kursus</h4>Uji pemahaman Anda di kuis akhir.<br>
<p></p>
<p><span style=""color: rgb(0, 61, 89); font-size: 1.5rem;"">Umpan balik</span><br></p>
<p></p>
<p>Jawab beberapa pertanyaan untuk membantu kami meningkatkan kursus ini.</p>
<p><span style=""color: rgb(0, 61, 89); font-size: 1.5rem;"">Video dan transkrip untuk diunduh</span></p>
<p></p>
<p></p>Temukan video dan transkripnya yang digunakan dalam kursus ini dalam format yang dapat diunduh.<br><br><br>
<p></p>",id,5843
838bee4fe4585a1b4bce1a6f17c3430f,"<p dir=""ltr"">To complete the course you need to complete the following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li><span style=""font-size: 1rem;"">View&nbsp; 'About this course', reading all sections.</span><br></li>
    <li>View 'Get a practice course'.</li>
    <li>View the 'Tutorial: Add content to your Moodle course', reading all sections.</li>
    <li>View the 'Tasks: Add content to your Moodle course', trying out the suggestions.</li>
    <li>Complete the 'Checklist: Add content to your Moodle course' , confirming your understanding.</li>
    <li>Achieve 80% or more in&nbsp; the 'Moodle Course Content: Check your understanding' quiz.</li>
</ul>
<p></p>
<h4>Completing the activities</h4>
<ul>
    <li>Some activities are automatically marked as completed based on specific criteria.</li>
    <li>Some activities require you to manually mark them as done.</li>
</ul>
<p>Make sure you complete the activities according to their completion conditions.</p>
<p></p>
<h4>Course badge</h4>
<p>Upon successful completion of this course you will be automatically awarded with a badge to showcase the skills and knowledge you have obtained.</p>
<p></p>","<p dir=""ltr"">Untuk menyelesaikan kursus, Anda perlu menyelesaikan aktivitas berikut:</p>
<p dir=""ltr""></p>
<ul>
    <li><span style=""font-size: 1rem;"">Lihat&nbsp; 'Tentang kursus ini', membaca semua bagian.</span><br></li>
    <li>Lihat 'Dapatkan kursus latihan'.</li>
    <li>Lihat 'Tutorial: Menambahkan konten ke kursus Moodle Anda', membaca semua bagian.</li>
    <li>Lihat 'Tugas: Menambahkan konten ke kursus Moodle Anda', dan cobalah saran-sarannya.</li>
    <li>Lengkapi 'Daftar Periksa: Tambahkan konten ke kursus Moodle Anda' , untuk mengonfirmasi pemahaman Anda.</li>
    <li>Mencapai 80% atau lebih dalam&nbsp; kuis 'Konten Kursus Moodle: Periksa pemahaman Anda'.</li>
</ul>
<p></p>
<h4>Menyelesaikan aktivitas</h4>
<ul>
    <li>Beberapa aktivitas secara otomatis ditandai sebagai selesai berdasarkan kriteria tertentu.</li>
    <li>Beberapa aktivitas mengharuskan Anda menandainya secara manual sebagai selesai.</li>
</ul>
<p>Pastikan Anda menyelesaikan aktivitas sesuai dengan kondisi penyelesaiannya.</p>
<p></p>
<h4>Lencana kursus</h4>
<p>Setelah berhasil menyelesaikan kursus ini, Anda akan secara otomatis diberikan lencana untuk menunjukkan keterampilan dan pengetahuan yang telah Anda peroleh.</p>
<p></p>",id,5843
8ba31c3b6c4aef47f94ce6dabcaf674d,"<p>This course is designed to help you find the best ways to display teaching materials and track learner progress.&nbsp;</p>
<p>You will need to have a Moodle course with an editing-teacher account. If your organisation is unable to give you a Moodle course with a teacher account then look at the page Get a practice course.</p>
<h5>This course IS...</h5>
<ul>
    <li>For anyone interested in teaching with Moodle, whatever your background.</li>
</ul>
<h5>This course IS NOT...</h5>
<ul>
    <li>For people who want to manage a whole Moodle site as an administrator.</li>
    <li>For people looking for advanced Moodle training.</li></ul>","<p>Kursus ini dirancang untuk membantu Anda menemukan cara terbaik untuk menampilkan materi pengajaran dan melacak progres peserta.&nbsp;</p>
<p>Anda harus memiliki kursus Moodle dengan akun pengajar pengedit. Jika organisasi Anda tidak dapat memberi Anda kursus Moodle dengan akun guru, lihat halaman Dapatkan kursus latihan.</p>
<h5>Kursus ini ADALAH...</h5>
<ul>
    <li>Bagi siapa pun yang tertarik mengajar dengan Moodle, apa pun latar belakang Anda.</li>
</ul>
<h5>Kursus ini BUKAN...</h5>
<ul>
    <li>Untuk orang yang ingin mengelola seluruh situs Moodle sebagai administrator.</li>
    <li>Untuk orang yang mencari pelatihan Moodle tingkat lanjut.</li></ul>",id,5843
fecff5ec3b16fadc68ed248e4f6ecf45,"<p>If you complete this course successfully, why not take the other courses in the Moodle Teaching Basics program and optionally purchase a certificate? </p>
<ul>
    <li>

        Start teaching with Moodle.<ul>
            <li>Understand how to navigate Moodle, set up your teaching space and give access to your learners.</li>
        </ul>
    </li>



    <li>Moodle Course Activities.<ul>
            <li>Encourage discussion, collaboration and other interactivity. Explore automatic and manual grading in Moodle, including quizzes and assignments.</li>
        </ul>
    </li>
    <li>
        Moodle Course Management.<ul>
            <li>Learn how to reuse your courses and explore some advanced features you'll learn with further training.
            </li>
        </ul>
    </li>
    <li>Accessible Teaching Basics.<ul>
            <li>Learn basic accessiblity so no learner is disadvantaged in your course.</li>
        </ul>
    </li>

</ul>","<p>Jika Anda berhasil menyelesaikan kursus ini, mengapa tidak mengambil kursus lain dalam program Dasar-Dasar Pengajaran dengan Moodle dan secara opsional membeli sertifikat? </p>
<ul>
    <li>

        Mulailah mengajar dengan Moodle.<ul>
            <li>Pahami cara menavigasi Moodle, atur ruang pengajaran Anda dan berikan akses kepada peserta didik Anda.</li>
        </ul>
    </li>



    <li>Aktivitas Kursus Moodle.<ul>
            <li>Dorong diskusi, kolaborasi, dan interaktivitas lainnya. Jelajahi penilaian otomatis dan manual di Moodle, termasuk kuis dan tugas.</li>
        </ul>
    </li>
    <li>
        Manajemen Kursus Moodle.<ul>
            <li>Pelajari cara menggunakan kembali kursus Anda dan jelajahi beberapa fitur lanjutan yang akan Anda pelajari dengan pelatihan lebih lanjut.
            </li>
        </ul>
    </li>
    <li>Dasar-Dasar Pengajaran untuk Aksesibilitas.<ul>
            <li>Pelajari aksesibilitas dasar sehingga tidak ada pelajar yang dirugikan dalam kursus Anda.</li>
        </ul>
    </li>

</ul>",id,5843
2588466a5f47925805a8536e6c46e0f4,"<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">By the end of this course, you will be able to:</span><br></h4><p dir=""ltr""></p><ul><li>Use a number of methods to add files to your Moodle course;</li><li>Display information in your course in an accessible and inclusive way;</li><li>Add images;</li><li>Embed sound and video;</li><li>Enable progress tracking for you and your learners.</li></ul><p></p>","<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">Pada akhir kursus ini, Anda akan mampu: </span><br></h4><p dir=""ltr""></p><ul><li>Gunakan sejumlah metode untuk menambahkan berkas ke kursus Moodle Anda;</li><li>Tampilan informasi dalam kursus Anda dengan cara yang mudah diakses dan inklusif;</li><li>Tambahkan gambar;</li><li>Sematkan suara dan video;</li><li>Aktifkan pelacakan progres untuk Anda dan siswa Anda.< /li></ul><p></p>",id,5843
