md5key,rawtext,substitutetext,targetlanguage,contextid
713c1ca3e765bf5789028ed6a492cda2,"<p>Encourage discussion, collaboration and other interactivity in your Moodle course. Explore automatic and manual grading in Moodle, including quizzes and assignments in this free, self-paced course, part of the Moodle Teaching Basics program.</p>
<p>This course relates to the following competence(s):</p>
<p>3.1 Teaching</p><br>
<p></p>",,id,5855
288690da6d35863332a6c75be2a92c3a,"<p>This beginner level&nbsp;course addresses ways to encourage discussion, collaboration and other interactivity in your Moodle course. You will also explore automatic and manual grading in Moodle, including quizzes and assignments.</p>
<h5>Please note</h5>
To get maximum benefit, we strongly advise you take the course <a href=""https://moodle.academy/course/view.php?id=34"">Start teaching with Moodle</a> before taking this course, and then complete the <a href=""https://moodle.academy/course/view.php?id=57"">Moodle Teaching Basics Program.</a>",,id,5855
dc9c29db92eb61c09d53b1d81afaf554,"<p dir=""ltr"" style=""text-align: left;"">When you have completed all the required activities, the Course check will appear for you to check your understanding.<br></p>",,id,5855
fc9b349821c2809e361d53caf50979de,"<h4 style=""text-align: left;"">Aim</h4>
<p>In this course you will</p>
<p></p>
<ul>
    <ul>
        <li>Learn how to add activities such as Choice, Forum, Glossary and Wiki to your Moodle course.</li>
        <li>Investigate how filters work.</li><li>Learn how to set up a live webinar in your course.</li>
        <li>Explore the difference between  Survey and Feeback activities.</li>
        <li>Learn how to create Quizzes and Assignments.</li>
        <li>Discover how to add H5P activities to your course.</li>
      <li>Explore Moodle's Gradebook.</li>
      <li>Investigate ways of monitoring learner activity and participation. </li>
    </ul>

</ul>
<ul>
</ul>
<p></p>
<p></p>
<h4>Format</h4>
<p dir=""ltr"">This is a self-paced course without active moderation.</p>
<h4 style=""text-align: left;"">Estimated time</h4>
<p dir=""ltr"" style=""text-align: left;"">The estimated time to complete this course is 3 hours.</p>",,id,5860
abe3b43de82b03ae0b3296118b72ffae,"""Being digitally competent means
using digital technologies
in a confident and safe way"" (DigComp 2.0). <br><br>Moodle Academy courses in the Educator learning pathway use a Moodle specific version of the Digital Competence Framework for Educators&nbsp;(DigCompEdu). This is the same framework used by the advanced Moodle Educator Certification (MEC).<br><br>This course relates to the following competence(s):<br><br>
<p>3.1 Teaching</p>",,id,5860
69ca18950080c44a678d39563f45ae38,"<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">By the end of this course, you will be able to:</span><br></h4><p dir=""ltr""></p><ul><li>Add a variety of Moodle activities for engaging and assessing learners.;</li><li>Successfully apply filters;</li><li>Create Quizzes and Assignments;</li><li>Add H5P activities to your course;</li><li>Navigate your course Gradebook;</li><li>Monitor your learners.</li></ul><p></p>",,id,5860
13221f1226f948fbbdb2aec6c97c01c0,"<p>If you complete this course successfully, why not take the other courses in the Moodle Teaching Basics program and optionally purchase a certificate? </p>
<ul>
    <li>

        Start teaching with Moodle.<ul>
            <li>Understand how to navigate Moodle, set up your teaching space and give access to your learners.</li>
        </ul>
    </li>



    <li>Moodle Course Content.<ul>
            <li>Discover the best ways to display teaching materials and track learner progress.</li>
        </ul>
    </li>
    <li>

        Moodle Course Management.<ul>
            <li>Learn how to reuse your courses and explore some advanced features you'll learn with further training.
            </li>
        </ul>
    </li>
    <li>Accessible Teaching Basics.<ul>
            <li>Learn basic accessiblity so no learner is disadvantaged in your course.</li>
        </ul>
    </li>

</ul>",,id,5860
92946eff5dec90dd59c1f16301f67376,"<ul>
    <li>This is a free, self-paced course provided by Moodle Academy.</li>
    <li>You must have an editing teacher role in a Moodle course in a Moodle site. If your organisation cannot offer you a course, then follow the instructions in the page Get a practice course.</li>
    <li>Although this course is not facilitated, you are welcome to ask any questions in the General discussion forum.</li>
    <li>We would love to hear what you think of the course, if anything is unclear, or you have any ideas for improvements. Please provide feedback so we can improve the course for everyone.</li>
</ul>

<p dir=""ltr"" style=""text-align: left;""></p>
<h4>Welcome</h4>
<p>Find out how the course works, check your prior understanding and join in an optional general discussion.</p>
<h4>Review, learn and practise</h4>
<p>Explore the interactive book and use the tasks provided to practise yourselves.&nbsp;</p><p></p><h4>Course check</h4>Test your understanding in the final quiz.<br><p></p>
<h4>Feedback</h4>
<p>Answer few questions to help us improve this course.</p><p><span style=""color: rgb(0, 61, 89); font-size: 1.5rem;"">Videos and transcripts for download</span><br></p>
<p></p><p>Find the videos and their transcripts used in this course in a downloadable format.</p>
<p></p>",,id,5860
d4fafa90e2a7ae9ab5404822477dbfc0,"<p>This course is designed to help you find ways to encourage discussion, collaboration and other interactivity in your Moodle course, you will also explore automatic and manual grading in Moodle, including quizzes and assignments.</p>
<p>You will need to have a Moodle course with an editing-teacher account. If your organisation is unable to give you a Moodle course with a teacher account then look at the page Get a practice course.</p>
<h5>This course IS...</h5>
<ul>
    <li>For anyone interested in teaching with Moodle, whatever your background.</li>
</ul>
<h5>This course IS NOT...</h5>
<ul>
    <li>For people who want to manage a whole Moodle site as an administrator.</li>
    <li>For people looking for advanced Moodle training.</li>
</ul>",,id,5860
405cd0c1fe15f3388577e00de31f80eb,"<p dir=""ltr"">To complete the course you need to complete the following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li><span style=""font-size: 1rem;"">View 'About this course', reading all sections.</span><br></li>
    <li>View 'Get a practice course'.</li>
    <li>View the 'Tutorial: Add activities to engage', reading all sections.</li>
    <li>View the 'Tutorial: Add activities to assess', reading all sections.</li>
    <li>View the 'Tasks: Add activities to your Moodle course', trying out the suggestions.</li>
    <li>Complete the 'Checklist: Add activities to your Moodle course' , confirming your understanding.</li>
    <li>Achieve 80% or more in the 'Moodle Course Activities: Check your understanding' quiz.</li>
</ul>
<p></p>
<h4>Completing the activities</h4>
<ul>
    <li>Some activities are automatically marked as completed based on specific criteria.</li>
    <li>Some activities require you to manually mark them as done.</li>
</ul>
<p>Make sure you complete the activities according to their completion conditions.</p>
<p></p>
<h4>Course badge</h4>
<p>Upon successful completion of this course you will be automatically awarded with a badge to showcase the skills and knowledge you have obtained.</p>
<p></p>",,id,5860
34ad602e66f8a89d8ffef88b7d1ae8b9,"<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/5860/mod_book/chapter/825/ccby.png"" alt=""Creative Commons Licence"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    This course by Moodle Academy (Moodle Pty Ltd) is licensed under&nbsp;<a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Original resources available at&nbsp;<a href=""https://moodle.academy/"">https://moodle.academy</a>.<br></p>
<p>
    <span class=""moodle-orange bold larger"">›</span>

    <a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Read more about how you should attribute this work.</a><br>
</p>",,id,5860
e55dedc37335deb47d30df899cb1488f,"The activities and screenshots in this course are based on the standard Boost theme and the latest version of Moodle LMS, currently 4.3.&nbsp;See <a href=""https://docs.moodle.org/403/en/Main_page"">Moodle 4.3 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/403/New_features"">New Features 4.3 documentation.</a><br>&nbsp;If your Moodle site looks different, ask your Moodle support staff about the theme and version being used.
<br><br>&nbsp;You can access documentation about earlier, supported versions of Moodle LMS below. This documentation includes the videos related to each version.<br>
<ul>
    <li><a href=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"" title=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"">Moodle 4.2 documentation overview</a> and <a href=""https://docs.moodle.org/402/en/New_features"">New Features 4.2 documentation.</a></li>
    <li><a href=""https://docs.moodle.org/401/en/Main_page"">Moodle 4.1 documentation overview</a> and&nbsp;<a href=""https://docs.moodle.org/401/en/New_features"">New Features 4.1 documentation.</a></li>
</ul>",,id,5860
