md5key,rawtext,substitutetext,targetlanguage,contextid
ee370c35998bd53967db65fc73d0b9f3,"<p dir=""ltr"">This course is for anyone who wants to learn about the new features and improvements in Moodle 4.4.</p>
<p dir=""ltr"">You should already be familiar with Moodle in order to benefit from the webinar and course materials.</p>
<p dir=""ltr"">This course relates to the following competence:</p>
<p dir=""ltr"">1.4 Digital CPD (for educators).</p>
<p dir=""ltr"">2.4 Support structures (for administrators).</p>",,id,261026
3df2bac14bfe5c0f401298511dfc2501,"This intermediate level course is for anyone who wants to learn about the new features and improvements in Moodle 4.4.",,id,261026
fd97262349d0bc2a56f642596f5d06bc,"If you're an administrator in Moodle, learn about what's new here.<br>Activities in this section will become visible after the webinar.",,id,261026
db06d3f70c19e304428fb0802bcab7ff,"If you are a teacher in a Moodle site, learn about what's new here.<br>Activities in this section will&nbsp; become visible after the webinar.<br>",,id,261026
4c7afc763741a26edb00a929c01ee8cb,"<div class=""no-overflow""><p>Before you begin, review the Course overview, Learning outcomes, Course structure and Completion and assessment information.</p></div>",,id,262746
fdcfae6161005e30337a9b22207a0890,"<h4>Welcome</h4>
<p>Find out how the course works, check your prior understanding and join in an optional general discussion.</p>
<h4>Webinar</h4>
<p>Participate in the live webinars or watch the recordings at your convenience.</p>
<h4>4.4 for Admins</h4>
<p>Explore the improvements and new features for site administrators.</p>
<h4>4.4 for Educators</h4>
<p>Explore the improvements and new features for educators.</p>
<h4>Course check</h4>Test your understanding in the final quiz(zes).<br><br>
<h4>Videos and transcripts</h4>
<p>Download the videos and transcripts from this course.</p>
<p></p>",,id,262746
b826b7eb8ec84b116116cd7ba5e19707,"<h4 style=""text-align: left;"">Aim</h4>
<p>In this intermediate course you will learn:</p>
<p></p>
<ul>
    <li>The new features for all users in Moodle 4.4.</li><li>Improvements to existing features for all users in Moodle 4.4.</li>
</ul>
<p></p>

<h4>Prerequisites</h4>Before starting this course it is expected you will already know how to manage a Moodle site and/or how to teach with Moodle.<br><br>
<h4>Format</h4>
<p dir=""ltr"">This is a self-paced course without active moderation. You are encouraged to discuss ideas in the discussion forums and respond to other learners' queries.</p>
<h4 style=""text-align: left;"">Learning time</h4>
<p dir=""ltr"" style=""text-align: left;"">The estimated learning time to complete this course is 2 hours.</p>",,id,262746
3a28229a7d7b662c67b7f7c66e1a6df8,"<p>All notable changes to this course will be documented in this page.</p>
<hr>
<p>Date: DD Month YYYY<br>Changed by:&nbsp;<br>Changes:</p>
<p></p>
<ul>
    <li>...</li>
    <li>...</li>
    <li>...</li>
</ul><br>
<hr>",,id,262746
b8d7a140965c588683e202f3f08e8ec1,"<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/262746/mod_book/chapter/4053/ccby.png"" alt=""Creative Commons Licence"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    This course by Moodle Academy (Moodle Pty Ltd) is licensed under&nbsp;<a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Original resources available at&nbsp;<a href=""https://moodle.academy/"" title=""Moodle Academy"">Moodle Academy</a>.<br></p>
<p>
    <span class=""moodle-orange bold larger"">›</span>

    <a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Read more about how you should attribute this work.</a><br>
</p>",,id,262746
3c2415d3f71c81e2e9c5c6b170cecfa7,"<h6>
    By the end of this course, participants will be able to:</h6><br>
<ul>
    <li>Identify the new features in Moodle 4.4 either for site administrators, editing teachers or both;&nbsp;</li>
    <li>Identify improvements in Moodle 4.4 and changes from earlier versions either for site administrators, editing teachers or both.</li>
</ul>",,id,262746
755ad3646f025fa43dce092f41d99b69,"<p>""Being digitally competent means
    using digital technologies in a confident and safe way"" (DigComp 2.0).</p>
<p>Moodle Academy courses in the Educator learning pathway use a Moodle specific version of the Digital Competence Framework for Educators (DigCompEdu). This is the same framework used by the advanced Moodle Educator Certification (MEC).&nbsp;</p>
<p>Moodle Academy courses in the Administrator learning pathway use <a href=""https://moodle.academy/mod/glossary/view.php?id=1915"">DigCompLMSAdmin</a>, a framework designed by Moodle Academy to demonstrate the competence of a Moodle site administrator, similar to how DigCompEdu demonstrates the competence of educators.&nbsp;</p>
<p>This course relates to the following competences:</p>
<p>1.4 Digital CPD (DigCompEdu).</p><p>2.4 Support structures (DigCompLMSAdmin).</p><p>8.2 Reflective Practice and Digital CPS (DigCompLMSAdmin).</p>",,id,262746
c895f76b246f37f2841affe2b5ec8e97,"<p dir=""ltr"">To complete the course you need to complete the&nbsp; following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li>View the 'About this course' book.</li>
    <li>Do the Quiz 'Course pre-check: What do you already know?'</li>
</ul>
<p>and then <strong>EITHER...</strong></p>
<p></p>
<ul>
    <li>View the 'Tutorial: What's new for administrators'</li>
    <li>Complete 'Try out the admin improvements and new features'</li>
    <li>Do the Choice 'Checklist: 4.4 administration'</li><li>Do the Quiz: 4.4 for Admins: Check your understanding.</li>
</ul>
<p><strong>...OR...</strong></p>
<p></p>
<ul>
    <li>View the 'Tutorial: What's new for educators'</li>
    <li>Complete 'Try out the educator improvements and new features'</li>
    <li>Do the Choice 'Checklist: Teaching with 4.4'</li><li>Do the Quiz: 4.4 for Educators: Check your understanding.</li>
</ul>
<h4>Completing the activities</h4>
<ul>
    <li>Some activities are automatically marked as completed based on specific criteria.</li>
    <li>Some activities require you to manually mark them as done.</li>
</ul>
<p>Make sure you complete the activities according to their completion conditions.</p>
<p></p>
<ul>
</ul>
<h4>Course badges</h4>
<p>There are two badges you can obtain in this course: 4.4 for Admins and 4.4 for Educators.</p>
<p>To complete the course you need to do the required activities plus <strong>EITHER</strong> the activities for administrators <strong>OR</strong> the activities for educators.&nbsp;</p>
<p>Upon successful completion you will be automatically awarded the relevant badge to showcase the skills and knowledge you have obtained.</p>
<p>You are then most welcome to complete the remaining activities and obtain the second badge🙂</p>
<p></p>",,id,262746
785630bb4e6ccbdb881e57ec046aedfa,"<p dir=""ltr"">Many thanks to the following individuals who contributed to this course, whether it be providing content and instructions, or providing feedback to help improve the design of this course.<br></p>
<ul>
    <li>###, Moodle Academy;</li>
</ul><br>",,id,262746
873e9d1b630f2e559a6907b558636e15,"This course covers the new features and improvements in Moodle LMS 4.4<br><br>&nbsp;See&nbsp;<a href=""https://docs.moodle.org/403/en/Main_page"">Moodle 4.4 documentation overview</a>&nbsp;and<a href=""https://docs.moodle.org/403/en/New_features"">&nbsp;New Features 4.4 documentation.</a><br><br><br>",,id,262746
2518b28e15f46e7134c013d548afdab3,"<p>To benefit most from this course, you should have a test Moodle 4.4 site to which you have administrator or editing teacher access, depending on your responsibilities.</p>
<p>If that is not possible, you can use our <a href=""https://sandbox.moodledemo.net"">Moodle sandbox demo</a> with the admin login (username = admin/password= sandbox) but be aware that this site is reset every hour so you won't be able to save your work.</p>
<p>Alternatively you can use the <a href=""https://school.moodledemo.net""> Mount Orange School demo site</a>, a demo site with many existing activities you can explore and adapt. While this does not  offer an administrator login, you can experience many features with the manager login (username = manager/password = moodle), and the editing teacher login (username= teacher/password = moodle), again remembering that the site is reset every hour so you won't be able to save your work.</p>
<p>Note:<strong> </strong>MoodleCloud sites are currently on 4.3 and not yet upgraded to 4.4.</p>",,id,262748
9fb36eb0416734bdd338f55271454356,"<div class=""no-overflow"">This is the official page with all the new features and improvements. We'll explore many, but not all, of them in this course, so here is the complete list.</div>",,id,262749
bb945cbf9c71d69f2e7757dd8982ba24,"Webinar recording 'What's New in Moodle 4.4'",,id,300763
672d47e37941678d055bfd6121fd4039,"<p dir=""ltr""><a href=""https://youtu.be/m4Rfc79C3Sc"">New in 4.4</a></p>
<p dir=""ltr"">If you missed the webinar, you can watch the recording on YouTube above, or download it via the link below.&nbsp;<br></p>
<div class=""editor-indent"" style=""margin-left: 30px;"">
    <p dir=""ltr""><i class=""fa fa-file-video-o"" aria-hidden=""true""></i>&nbsp;<a href=""https://moodle.academy/pluginfile.php/300763/mod_page/content/5/WhatsNewInMoodle44.mp4"" title=""Download webinar recording"">Download webinar recording</a>* (58MB)<br><br></p>


    <p dir=""ltr""><i class=""fa fa-file-pdf-o"" aria-hidden=""true""></i>&nbsp;<a href=""https://moodle.academy/pluginfile.php/300763/mod_page/content/5/WhatsNewinMoodle44.pdf"" title=""Download slides from the webinar"">Download slides from the webinar</a> (.pdf)<br><br></p>

    <p dir=""ltr""><i class=""fa fa-file-text-o"" aria-hidden=""true""></i>&nbsp;Download webinar transcript* (<a href=""https://moodle.academy/pluginfile.php/300763/mod_page/content/5/WhatsNewInMoodle44.srt"" title="".srt"">.srt</a>) | (<a href=""https://moodle.academy/pluginfile.php/300763/mod_page/content/5/WhatsNewInMoodle44.txt"" title="".txt"">.txt</a>)<br><span class=""moodle-orange bold larger"">›&nbsp;</span><a href=""https://moodle.academy/mod/glossary/showentry.php?eid=279"">how can I view subtitles on the video files?</a></p>


</div>
<div id=""urlintro"">
    <div><br>* To download, right click on the links and choose&nbsp;<strong>Save link as...</strong>&nbsp;/&nbsp;<strong>Download linked file</strong><br></div>
</div>

",,id,300763
1889ddd136bb0aa4e399edf6785d6a37,"Slides from the webinar",,id,262751
a9ec307810f75bce1c5f81519f31ad54,"Tutorial: What's new for administrators",,id,262753
0f9775e5cc861a5bd9e1948c45bc332b,"Browse list of users",,id,262753
db018088fa2dbf09a2863960c5897b08,"<p>The Browse list of users page now benefits from a filter using Report builder functionality. Admins can filter, select and perform bulk actions directly from this page without the need to go to the Bulk user actions page.<br><br>Note that city and country columns are not shown on the page unless selected as identity fields in <strong>Site administration &gt; User policies &gt; Show user identity</strong>.</p>",,id,262753
0a3e0a17124f333501067faf27ba8056,"Config changes",,id,262753
