md5key,rawtext,substitutetext,targetlanguage,contextid
55c2c899f1d732ebe37cc7141d26cbf9,"<p dir=""ltr"" style=""text-align: left;"">MEC stands for the Moodle Educator Certificate, the international certificate on teaching with Moodle, offered exclusively by Moodle Certified Partners and Service Providers, and Moodle HQ.&nbsp;</p><p dir=""ltr"" style=""text-align: left;"">Want to know more about MEC? Enrol in this course and participate in or watch the recordings of webinars where MEC Facilitators and certificate holders share their experiences with MEC. Also check if you are ready for the MEC by taking<span style=""font-size: 1rem;"">&nbsp;the Pre-placement quiz!</span><br></p><p dir=""ltr"" style=""text-align: left;""><br></p>","<p dir=""ltr"" style=""text-align: left;"">MEC adalah singkatan dari Moodle Educator Certificate, sertifikat internasional tentang pengajaran dengan Moodle, yang ditawarkan secara eksklusif oleh Mitra dan Penyedia Layanan Tersertifikasi Moodle, dan Kantor Pusat Moodle. </p><p dir=""ltr"" style=""text-align: left;"">Ingin tahu lebih banyak tentang MEC? Mendaftarlah dalam kursus ini dan berpartisipasi atau menonton rekaman webinar di mana Fasilitator MEC dan pemegang sertifikat berbagi pengalaman mereka dengan MEC. Periksa juga apakah Anda siap untuk MEC dengan mengikuti<span style=""font-size: 1rem;"">&nbsp;kuis Pra-penempatan!</span><br></p><p dir=""ltr"" style=""text-align: kiri;""><br></p>",id,537
3972087312c250a6488ceda875d6e05c,What is the MEC?,Apa itu MEC?,id,537
3f80dee47484c4aa4135235ff581daf7,"<p>The Moodle Educator Certification, or MEC, is Moodle's own certification program for experienced educators who have taught with Moodle for at least one year. </p>
<p> The MEC is NOT a training program and is not for those new to Moodle. If you haven't used Moodle before, we recommend you explore our <a href=""https://moodle.academy/mod/page/view.php?id=57"">Educator Learning Pathway</a> and investigate training offered by our <a href=""https://moodle.com/solutions/certified-service-providers/"">Moodle Certified Partners and Service Providers</a><a href=""https://moodle.com/services/"">. </a></p>
<p>The MEC program consists of six courses based on the 22 competences of the European Framework for the Digital Competence of Educators (DigCompEdu).<a href=""http://based on the European Framework for the Digital Competence of Educators (DigCompEdu).""></a></p>
<p><a href=""https://moodle.com/mec/"">Find out more about the MEC on Moodle.com.</a></p>","<p>Sertifikasi Pendidik Moodle, atau MEC, adalah program sertifikasi milik Moodle bagi pendidik berpengalaman yang telah mengajar dengan Moodle setidaknya selama satu tahun. </p>
<p> MEC BUKAN merupakan program pelatihan dan bukan untuk mereka yang baru mengenal Moodle. Jika Anda belum pernah menggunakan Moodle sebelumnya, kami sarankan Anda menjelajahi <a href=""https://moodle.academy/mod/page/view.php?id=57"">Jalur Pembelajaran Pendidik</a> kami dan mencari tahu pelatihan yang ditawarkan oleh <a href=""https://moodle.com/solutions/certified-service-providers/"">Mitra dan Penyedia Layanan Tersertifikasi Moodle</a><a href=""https://moodle.com/services/""> kami. </a> </p>
<p>Program MEC terdiri dari enam mata kuliah berdasarkan 22 kompetensi Kerangka Eropa untuk Kompetensi Digital Pendidik (DigCompEdu).<a href=""https://joint-research-centre.ec.europa.eu/digcompedu/"">based on the European Framework for the Digital Competence of Educators (DigCompEdu).</a></p>
<p><a href=""https://moodle.com/mec/"">Cari tahu lebih lanjut tentang MEC di Moodle.com.</a></p>",id,537
4a1096421655d923861e3431a89449e3,"<p>Now you understand what the MEC is and what the requirements are, why not try this short quiz (15 questions) to check if you have the skills and experience to get certified. You need at least 50% to be considered for the MEC, and you can take the quiz twice.</p>
<p><strong>Note</strong> that to take this quiz you must first<a href=""https://moodle.academy/login/index.php""> register on this site</a> and&nbsp;<a href=""https://moodle.academy/enrol/index.php?id=15"">enrol in this course</a>.</p>
<p>If you don't obtain 50% first time, you will have to wait 6 months to retake the quiz. This is to allow you time to do more training and gain more experience.&nbsp;</p>","<p>Sekarang Anda memahami apa itu MEC dan apa saja persyaratannya, mengapa tidak mencoba kuis singkat ini (15 pertanyaan) untuk mengetahui apakah Anda memiliki keterampilan dan pengalaman untuk mendapatkan sertifikasi. Anda memerlukan setidaknya 50% untuk dipertimbangkan dalam MEC, dan Anda dapat mengikuti kuis dua kali.</p>
<p><strong>Perhatikan</strong> bahwa untuk mengikuti kuis ini Anda harus terlebih dahulu<a href=""https://moodle.academy/login/index.php""> mendaftar di situs ini</a> dan&nbsp;<a href=""https://moodle.academy/enrol/index.php?id=15"">mendaftar pada kursus ini</a>.</p>
<p>Jika Anda tidak memperoleh 50% pada kali pertama, Anda harus menunggu 6 bulan untuk mengikuti kembali kuis. Hal ini untuk memberi Anda waktu untuk melakukan lebih banyak pelatihan dan mendapatkan lebih banyak pengalaman.&nbsp;</p>",id,537
fcfc0e96a09f70013a11e1db5f965c62,MEC: Where to go from here?,MEC: Menuju ke mana setelah ini?,id,537
05e79adcfc74108e97b0e32a57e28680,"<p>Based on your score in the quiz, we'll give you more information to help you get certified.</p>","<p>Berdasarkan skor Anda dalam kuis, kami akan memberi Anda lebih banyak informasi untuk membantu Anda mendapatkan sertifikasi.</p>",id,537
98c9ea1774e7900222066c71894b9c7f,Webinar: What is the MEC?,Webinar: Apa itu MEC?,id,537
20ef0f381649f651fa505a88f89acde8,ANNULÉ - E-Learning Touch' (FR),ANNULÉ - E-Learning Touch' (FR),id,537
930713168136c81fc1ebfcc59380611c,1st session - Catalyst (EN),1st session - Catalyst (EN),id,537
c934d299a1aa8083b79d0efef8991955,2nd session - Moodle US (EN),2nd session - Moodle US (EN),id,537
