md5key,rawtext,substitutetext,targetlanguage,contextid
5a5d29db529043be1dcaee73455bb0ac,"<p dir=""ltr"" style=""text-align: left;"">Learn how to add courses and gain an insight into course editing with this free, self-paced course, part of the Administrator Learning Pathway.</p><p dir=""ltr"" style=""text-align: left;"">This course relates to the following competence(s):<br></p><p dir=""ltr"" style=""text-align: left;""></p><ul><li>3.2 Course / Category management.</li></ul><p></p>","<p dir=""ltr"" style=""text-align: left;"">Pelajari cara menambahkan kursus dan mendapatkan wawasan tentang pengeditan kursus dengan kursus mandiri dan gratis ini, yang merupakan bagian dari Jalur Pembelajaran Administrator.</p> <p dir=""ltr"" style=""text-align: left;"">Kursus ini berkaitan dengan kompetensi berikut:<br></p><p dir=""ltr"" style=""text-align: left;""></p><ul><li>3.2 Manajemen Kursus / Kategori.</li></ul><p></p>",id,5913
085a36c66a4a7c3f8b33a093ce3175ab,<p>This self-paced beginner level&nbsp;course is part of the Administrator Learning Pathway and teaches you the very basics of Moodle course creation.</p>,<p>Kursus mandiri tingkat pemula&nbsp; ini adalah bagian dari Jalur Pembelajaran Administrator dan mengajarkan Anda dasar-dasar pembuatan kursus Moodle.</p>,id,5913
63fb247e7e216648bf808008c7218d16,"<p dir=""ltr"" style=""text-align: left;"">When you have completed all the required activities, the Course check will appear for you to check your understanding.<br></p>","<p dir=""ltr"" style=""text-align: left;"">Setelah Anda menyelesaikan semua aktivitas yang diperlukan, pemeriksaan Kursus akan muncul untuk memeriksa pemahaman Anda.<br></p>",id,5913
97ee8e4a88a7ff3f2b780698b82b154d,"<div class=""no-overflow""><div class=""no-overflow"">Sebelum memulai, tinjau Gambaran umum kursus, Capaian pembelajaran, Struktur kursus, serta Informasi kelulusan dan kriteria penilaian.</div>‍‍​‌‌‌​‍‍</div>","<div class=""no-overflow""><div class=""no-overflow"">Sebelum memulai, tinjau Gambaran umum kursus, Capaian pembelajaran, Struktur kursus, serta Informasi kelulusan dan kriteria penilaian.</div>‍‍​‌‌‌​‍‍</div>",id,5935
bd4c84733ab23f5582b585747dfeb7d6,Completion and assessment,Kelulusan dan penilaian,id,5935
214a53b3b63a46f1b42d575003304797,"<p dir=""ltr"">To complete the course you need to complete the following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li>View&nbsp; 'About this course', reading all sections.<br></li>
    <li>View the 'Tutorial: Course Creation Basics, reading all sections.</li>
    <li>View the 'Tasks: Course Creation Basics, trying out the suggestions.</li>
    <li>Complete the 'Checklist: Course Creation Basics' , confirming your understanding.</li>
    <li>Achieve 80% or more in&nbsp; the 'Course Creation Basics: Check your understanding' quiz.</li>
</ul>
<p></p>
<h4>Completing the activities</h4>
<ul>
    <li>Some activities are automatically marked as completed based on specific criteria.</li>
    <li>Some activities require you to manually mark them as done.</li>
</ul>
<p>Make sure you complete the activities according to their completion conditions.</p>
<p></p>
<h4>Course badge</h4>
<p>Upon successful completion of this course you will be automatically awarded with a badge to showcase the skills and knowledge you have obtained.</p>
<p></p>","<p dir=""ltr"">Untuk menyelesaikan kursus, Anda perlu menyelesaikan aktivitas berikut:</p>
<p dir=""ltr""></p>
<ul>
    <li>Lihat&nbsp; 'Tentang kursus ini', baca semua bagian.<br></li>
    <li>Lihat 'Tutorial: Dasar-Dasar Pembuatan Kursus, baca semua bagian.</li>
    <li>Lihat 'Tugas: Dasar-Dasar Pembuatan Kursus, dan cobalah sarannya.</li>
    <li>Lengkapi 'Daftar Periksa: Dasar-dasar Pembuatan Kursus' , untuk mengonfirmasi pemahaman Anda.</li>
    <li>Mencapai 80% atau lebih dalam&nbsp; kuis 'Dasar-dasar Pembuatan Kursus: Periksa pemahaman Anda'.</li>
</ul>
<p></p>
<h4>Menyelesaikan aktivitas</h4>
<ul>
    <li>Beberapa aktivitas secara otomatis ditandai sebagai selesai berdasarkan kriteria tertentu.</li>
    <li>Beberapa aktivitas mengharuskan Anda menandainya secara manual sebagai selesai.</li>
</ul>
<p>Pastikan Anda menyelesaikan aktivitas sesuai dengan kondisi penyelesaiannya.</p>
<p></p>
<h4>Lencana kursus</h4>
<p>Setelah berhasil menyelesaikan kursus ini, Anda akan secara otomatis diberikan lencana untuk menunjukkan keterampilan dan pengetahuan yang telah Anda peroleh.</p>
<p></p>",id,5935
8d282a8bd2fe903679ba3011d408c26a,Licence,Lisensi,id,5935
832e827ab429c203499cd0cac8ae8dcb,"<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/5935/mod_book/chapter/861/ccby.png"" alt=""Creative Commons Licence"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    This course by Moodle Academy (Moodle Pty Ltd) is licensed under&nbsp;<a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Original resources available at&nbsp;<a href=""https://moodle.academy/"">https://moodle.academy</a>.<br></p>
<p>
    <span class=""moodle-orange bold larger"">›</span>

    <a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Read more about how you should attribute this work.</a><br>
</p>","<p><a rel=""license"" href=""http://creativecommons.org/licenses/by/4.0/""><img src=""https://moodle.academy/pluginfile.php/5935/mod_book/ chapter/861/ccby.png"" alt=""Lisensi Creative Commons"" width=""120"" height=""42"" style=""float:left"" class=""img-fluid atto_image_button_middle""></a>
    Kursus dari Moodle Academy (Moodle Pty Ltd) ini dilisensikan dengan&nbsp;<a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Sumber daya asli tersedia di&nbsp;<a href=""https://moodle.academy/"">https://moodle.academy</a>.<br></p>
<p>
    <span class=""moodle-orange bold larger"">›</span>

    <a href=""https://moodle.academy/mod/glossary/showentry.php?eid=272"">Baca selengkapnya tentang cara mengatribusikan karya ini.</a><br>
</p>",id,5935
a209901e4d65897541bb3eacb6998def,Learning outcomes,Capaian pembelajaran,id,5935
84f4820e898743986b6871acdf66fea4,"<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">By the end of this course, you will be able to:</span><br></h4>
<p dir=""ltr""></p>
<ul>
    <li>Confidently set up categories and courses individually and in bulk;</li>
    <li>Be aware of how teachers edit courses and create content.</li>
</ul>
<p></p>","<h4 style=""text-align: left;""><span style=""color: rgb(73, 80, 87); font-size: 1rem;"">Pada akhir kursus ini, Anda akan mampu: </span><br></h4>
<p dir=""ltr""></p>
<ul>
    <li>Siapkan kategori dan kursus dengan percaya diri secara individual dan massal;</li>
    <li>Perhatikan cara pengajar mengedit kursus dan membuat konten.</li>
</ul>
<p></p>",id,5935
