md5key,rawtext,substitutetext,targetlanguage,contextid
a42b4a300a295670ed3c41cf65d161d6,"<p dir=""ltr"">This course provides an introduction to the Moodle Learning Management System. Whether you are an Administrator, Educator or Developer, we recommend starting with this course for an overview of what Moodle can offer.&nbsp;</p>","<p dir=""ltr"">Kursus ini memberikan pengenalan Sistem Manajemen Pembelajaran Moodle. Baik Anda seorang Administrator, Pendidik, atau Pengembang, kami sarankan untuk memulai dengan kursus ini untuk mendapatkan gambaran umum tentang apa yang dapat ditawarkan Moodle.&nbsp;</p>",id,6949
5ab4280c30c24810ce98548cd4d2930f,"<p dir=""ltr"" style=""text-align: left;"">This beginner level&nbsp;course provides a short, high level overview of Moodle. It is recommended that you take this course before any others, if you are not already familiar with Moodle. It is suitable for everyone: educators, administrators and developers.</p><p dir=""ltr"" style=""text-align: center;""><a href=""https://youtu.be/ax6yPMyx5gU"">https://youtu.be/ax6yPMyx5gU</a><br></p>","<p dir=""ltr"" style=""text-align: left;"">Kursus tingkat pemula ini memberikan gambaran singkat dan tingkat tinggi tentang Moodle. Disarankan agar Anda mengikuti kursus ini sebelum kursus lainnya, jika Anda belum familiar dengan Moodle. Cocok untuk semua orang: pendidik, administrator, dan pengembang.</p><p dir=""ltr"" style=""text-align: center;""><a href=""https://youtu.be/ax6yPMyx5gU""> https://youtu.be/ax6yPMyx5gU</a><br></p>",id,6949
09485c793b3da5db25cb45724e2c58e9,Webinar recordings,Rekaman webinar,id,6949
316d3d4febd00a31bd1567ccfa8befae,The following two webinar recordings are not required to complete the course. Feel free to watch them if you wish.,Dua rekaman webinar berikut tidak diperlukan untuk menyelesaikan kursus. Jangan ragu untuk menontonnya jika Anda mau.,id,6949
97ee8e4a88a7ff3f2b780698b82b154d,"<div class=""no-overflow""><div class=""no-overflow"">Sebelum memulai, tinjau Gambaran umum kursus, Capaian pembelajaran, Struktur kursus, serta Informasi kelulusan dan kriteria penilaian.</div>‍‍​‌‌‌​‍‍</div>","<div class=""no-overflow""><div class=""no-overflow"">Sebelum memulai, tinjau Gambaran umum kursus, Capaian pembelajaran, Struktur kursus, serta Informasi kelulusan dan kriteria penilaian.</div>‍‍​‌‌‌​‍‍</div>",id,False
026b9211dddd47ed34f0f354f2c55961,Moodle versions,Versi Moodle,id,False
b3d48191e08e8073f937d99b22145e73,"<p>The activities and screenshots in this course are based on the standard Boost theme and the latest version of Moodle LMS, currently 4.3.&nbsp;See&nbsp;<a href=""https://docs.moodle.org/403/en/Main_page"">Moodle 4.3 documentation overview</a>&nbsp;and&nbsp;<a href=""https://docs.moodle.org/403/New_features"">New Features 4.3 documentation.</a><br>&nbsp;If your Moodle site looks different, ask your Moodle support staff about the theme and version being used.<br><br>&nbsp;You can access documentation about earlier, supported versions of Moodle LMS below. This documentation includes the videos related to each version.<br></p><ul><li><a href=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"" title=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"">Moodle 4.2 documentation overview</a>&nbsp;and&nbsp;<a href=""https://docs.moodle.org/402/en/New_features"">New Features 4.2 documentation.</a></li><li><a href=""https://docs.moodle.org/401/en/Main_page"">Moodle 4.1 documentation overview</a>&nbsp;and&nbsp;<a href=""https://docs.moodle.org/401/en/New_features"">New Features 4.1 documentation.</a></li></ul><br><p></p>","<p>Aktivitas dan tangkapan layar dalam kursus ini didasarkan pada tema Boost standar dan versi terbaru Moodle LMS, saat ini versi 4.3.&nbsp;Lihat&nbsp;<a href=""https://docs.moodle.org/403/en /Main_page"">Ikhtisar dokumentasi Moodle 4.3</a>&nbsp;dan&nbsp;<a href=""https://docs.moodle.org/403/New_features"">Dokumentasi Fitur Baru 4.3.</a><br>&nbsp; Jika situs Moodle Anda terlihat berbeda, tanyakan kepada staf dukungan Moodle Anda tentang tema dan versi yang digunakan.<br><br>&nbsp;Anda dapat mengakses dokumentasi tentang versi LMS Moodle yang didukung sebelumnya di bawah. Dokumentasi ini mencakup video yang terkait dengan setiap versi.<br></p><ul><li><a href=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle. org/402/en/New_features"" title=""https://docs.moodle.org/402/en/Main_pagehttps://docs.moodle.org/402/en/New_features"">Ikhtisar dokumentasi Moodle 4.2</a> &nbsp;dan&nbsp;<a href=""https://docs.moodle.org/402/en/New_features"">Dokumentasi Fitur Baru 4.2.</a></li><li><a href=""https:/ /docs.moodle.org/401/en/Main_page"">Ikhtisar dokumentasi Moodle 4.1</a>&nbsp;dan&nbsp;<a href=""https://docs.moodle.org/401/en/New_features"">Fitur Baru 4.1 dokumentasi.</a></li></ul><br><p></p>",id,6958
bd4c84733ab23f5582b585747dfeb7d6,Completion and assessment,Kelulusan dan penilaian,id,False
def17296abcbd388e452259c4797438d,"<p dir=""ltr"">To complete the course you need to complete the following activities:</p>
<p dir=""ltr""></p>
<ul>
    <li>'About this course' book (what you are reading now).</li><li>'Course pre-check: What do you already know?', making at least 1 attempt - your score doesn't matter.</li>
    <li>'About Moodle', 'Moodle key features', 'Courses' and 'Users' lessons.</li>
    <li>'Introduction to Moodle: Check your understanding' quiz, achieving 80% or more.</li>
</ul>
<p></p>
<h4>Completing the activities</h4>
<p></p><ul><li>Some activities are automatically marked as completed based on specific criteria.</li><li>Some activities require you to manually mark them as done.</li></ul><p>Make sure you complete the activities according to their completion conditions.</p><h4>Course badge</h4>
<p>Upon successful completion of this course you will be automatically awarded with the relevant badge to showcase the skills and knowledge you have obtained.</p>
<p></p>","<p dir=""ltr"">Untuk menyelesaikan kursus, Anda perlu menyelesaikan aktivitas berikut:</p>
<p dir=""ltr""></p>
<ul>
    <li>Buku 'Tentang kursus ini' (apa yang sedang Anda baca sekarang).</li><li>'Pemeriksaan awal kursus: Apa yang sudah Anda ketahui?', melakukan setidaknya 1 kali percobaan - skor Anda tidak masalah. </li>
    <li>'Tentang Moodle', 'Fitur utama Moodle', 'Kursus' dan pelajaran 'Pengguna'.</li>
    <li>Kuis 'Pengantar Moodle: Periksa pemahaman Anda', mencapai 80% atau lebih.</li>
</ul>
<p> </p>
<h4>Menyelesaikan aktivitas</h4>
<p></p><ul><li>Beberapa aktivitas secara otomatis ditandai sebagai selesai berdasarkan kriteria tertentu.</li><li>Beberapa aktivitas mengharuskan Anda menandainya secara manual sebagai selesai.</li></ul><p> Pastikan Anda menyelesaikan aktivitas sesuai dengan ketentuan penyelesaiannya.</p><h4>Lencana kursus</h4>
<p>Setelah berhasil menyelesaikan kursus ini, Anda akan secara otomatis diberikan lencana yang relevan untuk menunjukkan keterampilan dan pengetahuan yang telah Anda peroleh.</p>
<p> </p>",id,6958
8d282a8bd2fe903679ba3011d408c26a,Licence,Lisensi,id,False
